序號,券商,價格,買進股數,賣出股數
475,779u 國票長城,180.5,17000,30000
476,779u 國票長城,181,23000,0
477,779v 國票台中,181,1000,0
478,779V 國票天祥,181.5,1000,0
479,779W 國票彰化,180.5,5000,0
480,779W 國票彰化,181,2000,0
481,779X 國票中和,181,1000,0
482,779z 國票博愛,180.5,1000,0
483,779Z 國票安和,180.5,1000,0
484,779Z 國票安和,181,2000,0
485,7900 豐    德,180.5,3000,0
486,8150 台    新,180.5,15000,0
487,8150 台    新,181,14010,2000
488,815A 台新高雄,180.5,5000,0
489,815A 台新高雄,181,30,0
490,815B 台新台中,180,1000,0
491,815B 台新台中,180.5,1000,0
492,815B 台新台中,181,83,0
493,815B 台新台中,181.5,5000,0
494,8380 安    泰,180.5,1000,0
495,8382 安泰楠梓,180.5,2000,0
496,8440 摩根大通,180.5,6000,53000
497,8440 摩根大通,181,13000,127000
498,8440 摩根大通,181.5,10000,0
499,8450 康    和,181,20000,0
500,8451 康和延平,180.5,2000,0
501,8451 康和延平,181,2000,0
502,8454 康和新營,181,2000,0
503,8455 康和台中,181,6000,0
504,8456 康和新竹,181,1000,0
505,8458 康和台南,180.5,1000,0
506,845A 康和內湖,181,6000,0
507,845A 康和內湖,181.5,0,1000
508,845D 康和板橋,180.5,1000,0
509,845D 康和板橋,181,10000,0
510,845E 康和澎湖,181,2010,0
511,845E 康和澎湖,181.5,1000,0
512,845F 康和仁愛,180.5,1000,0
513,845J 康和高雄,180.5,3000,0
514,845R 康和石牌,181,1000,0
515,845U 康和復興,180.5,135000,0
516,845U 康和復興,181,92000,2000
517,8560 新    光,180,11000,0
518,8560 新    光,180.5,30000,0
519,8560 新    光,181,8300,13000
520,8561 新光台中,180,3000,0
521,8561 新光台中,180.5,4000,1000
522,8561 新光台中,181,2000,6000
523,8561 新光台中,181.5,0,2000
524,8562 新光高雄,180,0,1000
525,8562 新光高雄,180.5,2000,1000
526,8562 新光高雄,181,2000,1000
527,8563 新光新竹,180.5,1000,0
528,8563 新光新竹,181,0,1000
529,8564 新光台南,180.5,6000,2000
530,8564 新光台南,181,2006,0
531,8564 新光台南,181.5,1000,0
532,8565 新光桃園,180.5,2000,0
533,8581 聯邦高雄,180.5,1000,0
534,8581 聯邦高雄,181,1000,0
535,8583 聯邦敦化,181.5,6000,0
536,8584 聯邦雙和,180.5,2000,0
537,8585 聯邦三重,180.5,2000,0
538,8586 聯邦大業,181,0,1000
539,8660 萬    通,181.5,3000,0
540,8710 陽   信,181,0,1000
541,8711 陽信石牌,180.5,1000,0
542,8840 玉    山,180.5,6000,0
543,8840 玉    山,181,18033,1000
544,8841 玉山雙和,180.5,1000,0
545,8841 玉山雙和,181,100,471
546,8842 玉山新莊,180.5,5000,0
547,8842 玉山新莊,181,2000,0
548,8843 玉山高雄,180.5,2000,0
549,8843 玉山高雄,181,1300,0
550,8844 玉山松江,181,300,0
551,8845 玉山仁愛,180.5,1000,1000
552,8845 玉山仁愛,181,1000,1000
553,8846 玉山土城,180.5,2000,0
554,8846 玉山土城,181,1000,1000
555,8847 玉山台南,180.5,1000,0
556,8847 玉山台南,181,1000,0
557,8848 玉山嘉義,180.5,5000,0
558,8848 玉山嘉義,181,5000,1000
559,8848 玉山嘉義,181.5,2000,0
560,884A 玉山士林,180.5,1000,0
561,884B 玉山台中,180.5,1000,0
562,884B 玉山台中,181,1000,0
563,884C 玉山南京,180.5,6000,1000
564,884C 玉山南京,181,5000,0
565,884D 玉山左營,180.5,1000,0
566,884E 玉山城中,181,13000,11000
567,884E 玉山城中,181.5,1000,0
568,884F 玉山桃園,180.5,1000,0
569,884F 玉山桃園,181,2000,1000
570,884H 玉山新竹,181,10000,0
571,884J 玉山大里,181,1000,0
572,8850 鑫    豐,180.5,122000,6000
573,8850 鑫    豐,181,21100,28000
574,8880 國泰綜合,180.5,160000,260000
575,8880 國泰綜合,181,926000,462000
576,8880 國泰綜合,181.5,17000,0
577,8881 國泰高雄,180,0,2000
578,8881 國泰高雄,180.5,11000,0
579,8881 國泰高雄,181.5,0,1000
580,8882 國泰台中,180.5,4000,2000
581,8882 國泰台中,181,1000,0
582,8883 國泰松江,181,4000,0
583,8884 國泰台南,181,200,0
584,8885 國泰桃園,180.5,5000,0
585,8887 國泰忠孝,180,2000,0
586,8887 國泰忠孝,180.5,2000,0
587,8887 國泰忠孝,181,0,2000
588,888A 國泰館前,180.5,1000,0
589,888A 國泰館前,181,0,1000
590,888A 國泰館前,181.5,1000,0
591,888K 國泰板橋,180.5,1000,0
592,888K 國泰板橋,181,27000,1000
