產業別,公司代號,名稱,股價日期,成交,漲跌價,漲跌幅,成交張數,市場,面值(元),股本(億),市值(億),成立年數,上市年數,董事長,總經理
生技醫療業,6469,大樹,3月2日,85.4,-0.1,-0.12%,27,上櫃,10,2.65,22.7,15.8,0.9,劉玉騰,鄭明龍
通信網路業,6470,宇智,3月2日,51.8,-0.2,-0.38%,112,上櫃,10,3.2,16.6,12.7,1.3,袁允中,袁允中
文化創意業,6482,弘煜科,3月2日,55.1,-1.9,-3.33%,14,上櫃,10,1.41,7.76,7.3,0.7,洪而立,洪而立
半導體業,6485,點序,3月2日,53.7,-0.1,-0.19%,86,上櫃,10,3.04,16.3,9.1,1.3,劉坤旺,劉坤旺
通信網路業,6486,互動,3月2日,35.1,-0.35,-0.99%,75,上櫃,10,4.62,16.2,13.8,0.5,鄭炎為,郭俊良
半導體業,6488,環球晶,3月2日,184.5,-2.5,-1.34%,"7,180",上櫃,10,36.9,681,5.4,1.4,徐秀蘭,Mark England
半導體業,6494,九齊,3月2日,38.25,-0.4,-1.03%,190,上櫃,10,2.66,10.2,10.3,0.8,郭秋麗,陳建隆
生技醫療業,6496,科懋,3月2日,75.3,-1.9,-2.46%,290,上櫃,10,4.67,35.1,28.6,1.2,陳澤民,陳澤民
生技醫療業,6499,益安,3月2日,103,0,0%,70,上櫃,10,5.08,52.3,4.2,0.6,張有德,張有德
化學工業,6506,雙邦,3月2日,24.3,-0.25,-1.02%,196,上櫃,10,7.69,18.7,27.3,5.8,張崇棠,許瑜娟
塑膠工業,6508,惠光,3月2日,27.4,-0.05,-0.18%,42,上櫃,10,8.14,22.3,51.2,12.9,陳榮東,陳冠華
化學工業,6509,聚和,3月2日,18.25,-0.15,-0.82%,679,上櫃,10,16.3,29.7,42.1,12.9,郭聰田,郭聰田
半導體業,6510,精測,3月2日,1320,-10,-0.75%,342,上櫃,10,3.08,406,11.5,0.9,李世欽,黃水可
其他電子業,6512,啟發電,3月2日,32.65,-0.95,-2.83%,95,上櫃,10,2.5,8.16,10.9,0.9,張鈺欽,張鈺欽
通信網路業,6514,芮特-KY,3月2日,39.1,-0.4,-1.01%,1,上櫃,10,2.14,8.35,2.5,1.3,吳東義,蔣孝彥
